CATEGORY,START_TIME,ROAD
2,2023-03-05 04:20:00,Красноярская
2,2023-03-05 16:19:00,Октябрьская
1,2023-03-05 21:10:00,Северо-Кавказская
2,2023-04-05 18:09:00,Красноярская
3,2023-05-05 14:58:00,Западно-Сибирская
2,2023-05-05 16:15:00,Октябрьская
3,2023-06-05 02:04:00,Западно-Сибирская
2,2023-07-05 00:50:00,Октябрьская
3,2023-08-05 08:12:00,Восточно-Сибирская
3,2023-09-05 12:32:00,Северо-Кавказская
2,2023-11-05 11:02:00,Октябрьская
3,2023-11-05 14:26:00,Московская
2,2023-12-05 02:40:00,Октябрьская
2,2023-05-14 23:36:00,Свердловская
3,2023-05-15 09:31:00,Западно-Сибирская
3,2023-05-15 14:49:00,Западно-Сибирская
3,2023-05-15 20:30:00,Октябрьская
3,2023-05-15 23:04:00,Октябрьская
2,2023-05-16 07:03:00,Октябрьская
3,2023-05-16 08:35:00,Октябрьская
3,2023-05-16 09:30:00,Московская
3,2023-05-17 07:44:00,Московская
3,2023-05-18 02:31:00,Красноярская
3,2023-05-18 05:43:00,Западно-Сибирская
3,2023-05-19 08:44:00,Свердловская
3,2023-05-19 22:31:00,Московская
3,2023-05-20 02:00:00,Западно-Сибирская
3,2023-05-20 08:30:00,Московская
3,2023-05-21 11:43:00,Свердловская
2,2023-05-23 03:05:00,Московская
2,2023-05-23 03:23:00,Октябрьская
2,2023-05-23 07:19:00,Северо-Кавказская
3,2023-05-23 21:10:00,Московская
2,2023-05-25 11:40:00,Октябрьская
2,2023-05-26 06:14:00,Забайкальская
2,2023-05-26 08:20:00,Забайкальская
3,2023-05-27 20:05:00,Московская
3,2023-05-27 23:04:00,Октябрьская
3,2023-05-28 01:58:00,Октябрьская
1,2023-05-29 18:53:00,Восточно-Сибирская
3,2023-05-30 19:38:00,Западно-Сибирская
2,2023-05-31 07:39:00,Октябрьская
2,2023-05-31 08:32:00,Восточно-Сибирская
1,2023-05-31 17:22:00,Дальневосточная
3,2023-01-06 06:51:00,Восточно-Сибирская
3,2023-01-06 12:20:00,Московская
3,2023-01-06 20:56:00,Октябрьская
2,2023-04-06 08:50:00,Московская
3,2023-05-06 17:41:00,Западно-Сибирская
1,2023-05-06 22:50:00,Северо-Кавказская
3,2023-06-06 01:53:00,Октябрьская
3,2023-08-06 11:50:00,Восточно-Сибирская
1,2023-09-06 22:51:00,Северо-Кавказская
3,2023-10-06 12:32:00,Московская
3,2023-11-06 06:00:00,Западно-Сибирская
2,2023-06-13 03:44:00,Московская
3,2023-06-13 21:06:00,Октябрьская
1,2023-06-14 00:10:00,Северо-Кавказская
2,2023-06-14 06:13:00,Забайкальская
3,2023-06-14 22:01:00,Красноярская
3,2023-06-15 13:05:00,Октябрьская
3,2023-06-16 00:54:00,Западно-Сибирская
1,2023-06-16 15:20:00,Красноярская
3,2023-06-17 08:15:00,Октябрьская
2,2023-06-19 01:18:00,Московская
1,2023-06-19 20:27:00,Забайкальская
3,2023-06-21 05:27:00,Московская
3,2023-06-21 09:00:00,Октябрьская
3,2023-06-22 05:10:00,Забайкальская
3,2023-06-24 13:00:00,Московская
1,2023-06-25 01:12:00,Красноярская
1,2023-06-25 20:08:00,Восточно-Сибирская
2,2023-06-25 22:18:00,Северо-Кавказская
1,2023-06-26 04:43:00,Северо-Кавказская
3,2023-06-26 22:57:00,Юго-Восточная
1,2023-06-26 23:20:00,Северо-Кавказская
3,2023-06-27 06:30:00,Северо-Кавказская
3,2023-06-27 08:06:00,Октябрьская
2,2023-06-27 15:23:00,Северо-Кавказская
3,2023-06-28 11:11:00,Западно-Сибирская
3,2023-06-30 05:53:00,Московская
2,2023-06-30 15:05:00,Красноярская
2,2023-06-30 16:35:00,Восточно-Сибирская
2,2023-02-07 01:18:00,Октябрьская
3,2023-02-07 18:30:00,Октябрьская
1,2023-03-07 07:49:00,Восточно-Сибирская
2,2023-03-07 12:19:00,Забайкальская
2,2023-03-07 22:10:00,Забайкальская
1,2023-05-07 00:34:00,Октябрьская
3,2023-05-07 07:26:00,Октябрьская
3,2023-05-07 07:31:00,Западно-Сибирская
3,2023-05-07 09:56:00,Октябрьская
3,2023-06-07 18:00:00,Свердловская
3,2023-07-07 02:05:00,Октябрьская
2,2023-08-07 00:28:00,Октябрьская
2,2023-08-07 12:28:00,Октябрьская
3,2023-09-07 14:35:00,Куйбышевская
2,2023-09-07 14:45:00,Октябрьская
2,2023-10-07 00:16:00,Октябрьская
2,2023-10-07 04:10:00,Октябрьская
3,2023-10-07 06:17:00,Московская
3,2023-10-07 06:36:00,Октябрьская
3,2023-10-07 12:27:00,Октябрьская
3,2023-12-07 04:44:00,Московская
1,2023-12-07 09:50:00,Свердловская
3,2023-12-07 23:58:00,Забайкальская
3,2023-07-13 14:08:00,Восточно-Сибирская
3,2023-07-14 11:20:00,Октябрьская
3,2023-07-14 22:30:00,Октябрьская
1,2023-07-15 04:25:00,Октябрьская
3,2023-07-16 01:00:00,Западно-Сибирская
2,2023-07-16 16:58:00,Московская
2,2023-07-17 13:00:00,Октябрьская
3,2023-07-18 01:38:00,Октябрьская
3,2023-07-18 15:06:00,Октябрьская
3,2023-07-19 11:15:00,Октябрьская
1,2023-07-20 09:14:00,Свердловская
1,2023-07-20 10:42:00,Забайкальская
3,2023-07-20 18:14:00,Октябрьская
1,2023-07-20 22:27:00,Октябрьская
3,2023-07-22 00:19:00,Куйбышевская
3,2023-07-22 01:00:00,Московская
2,2023-07-22 07:39:00,Забайкальская
3,2023-07-22 21:30:00,Московская
3,2023-07-23 02:44:00,Октябрьская
3,2023-07-23 04:00:00,Октябрьская
3,2023-07-23 05:45:00,Октябрьская
3,2023-07-23 09:29:00,Октябрьская
2,2023-07-23 12:20:00,Красноярская
2,2023-07-23 16:08:00,Московская
3,2023-07-23 21:01:00,Московская
3,2023-07-24 14:56:00,Октябрьская
3,2023-07-24 15:43:00,Октябрьская
3,2023-07-25 01:10:00,Забайкальская
2,2023-07-25 05:23:00,Октябрьская
3,2023-07-25 10:00:00,Московская
3,2023-07-25 15:07:00,Юго-Восточная
3,2023-07-25 18:30:00,Западно-Сибирская
2,2023-07-27 07:40:00,Московская
3,2023-07-28 06:43:00,Красноярская
3,2023-07-28 13:45:00,Октябрьская
3,2023-07-28 17:16:00,Октябрьская
1,2023-07-29 08:13:00,Октябрьская
1,2023-07-29 10:08:00,Октябрьская
3,2023-07-29 13:14:00,Московская
2,2023-07-29 16:40:00,Октябрьская
