CATEGORY,START_TIME,ROAD
2,2024-02-14 21:36:00,Забайкальская
2,2024-02-15 04:25:00,Забайкальская
2,2024-02-15 04:51:00,Забайкальская
1,2024-02-15 04:55:00,Забайкальская
3,2024-02-15 06:28:00,Красноярская
2,2024-02-15 07:34:00,Свердловская
3,2024-02-15 09:47:00,Октябрьская
2,2024-02-15 15:10:00,Красноярская
2,2024-02-15 20:53:00,Восточно-Сибирская
2,2024-02-16 00:04:00,Октябрьская
3,2024-02-16 02:03:00,Южно-Уральская
3,2024-02-16 11:15:00,Красноярская
2,2024-02-16 17:17:00,Дальневосточная
3,2024-02-16 17:31:00,Южно-Уральская
3,2024-02-17 12:00:00,Забайкальская
3,2024-02-18 07:18:00,Южно-Уральская
3,2024-02-18 07:31:00,Восточно-Сибирская
3,2024-02-18 14:52:00,Южно-Уральская
3,2024-02-18 20:37:00,Забайкальская
2,2024-02-18 21:37:00,Забайкальская
3,2024-02-18 23:19:00,Южно-Уральская
2,2024-02-19 05:54:00,Восточно-Сибирская
2,2024-02-19 10:25:00,Октябрьская
2,2024-02-19 19:41:00,Восточно-Сибирская
3,2024-02-20 00:10:00,Забайкальская
1,2024-02-20 03:10:00,Дальневосточная
2,2024-02-20 03:35:00,Забайкальская
3,2024-02-20 05:47:00,Восточно-Сибирская
2,2024-02-20 08:22:00,Восточно-Сибирская
1,2024-02-20 10:30:00,Дальневосточная
3,2024-02-20 11:35:00,Юго-Восточная
3,2024-02-20 19:29:00,Свердловская
2,2024-02-21 06:58:00,Восточно-Сибирская
3,2024-02-21 07:42:00,Красноярская
3,2024-02-21 12:40:00,Юго-Восточная
2,2024-02-21 16:10:00,Свердловская
3,2024-02-21 18:38:00,Восточно-Сибирская
1,2024-02-22 00:41:00,Дальневосточная
2,2024-02-22 19:33:00,Забайкальская
2,2024-02-22 21:57:00,Красноярская
1,2024-02-22 22:14:00,Северная
2,2024-02-22 23:54:00,Западно-Сибирская
1,2024-02-23 00:07:00,Забайкальская
3,2024-02-23 01:53:00,Красноярская
2,2024-02-23 13:57:00,Восточно-Сибирская
3,2024-02-23 19:00:00,Восточно-Сибирская
3,2024-02-23 21:10:00,Западно-Сибирская
3,2024-02-23 21:32:00,Красноярская
3,2024-02-23 21:40:00,Красноярская
3,2024-02-23 22:00:00,Забайкальская
3,2024-02-23 23:03:00,Дальневосточная
1,2024-02-24 01:30:00,Забайкальская
2,2024-02-24 04:30:00,Забайкальская
3,2024-02-24 05:00:00,Восточно-Сибирская
3,2024-02-24 05:08:00,Красноярская
3,2024-02-24 09:02:00,Восточно-Сибирская
1,2024-02-24 09:29:00,Западно-Сибирская
1,2024-02-24 12:59:00,Забайкальская
2,2024-02-25 00:52:00,Октябрьская
2,2024-02-25 06:56:00,Восточно-Сибирская
3,2024-02-25 08:58:00,Западно-Сибирская
1,2024-02-25 16:28:00,Забайкальская
1,2024-02-25 22:57:00,Забайкальская
1,2024-02-26 04:22:00,Октябрьская
3,2024-02-26 08:20:00,Свердловская
2,2024-02-26 09:10:00,Забайкальская
2,2024-02-26 13:15:00,Забайкальская
2,2024-02-26 23:56:00,Забайкальская
1,2024-02-27 01:09:00,Забайкальская
3,2024-02-27 02:26:00,Свердловская
3,2024-02-27 06:48:00,Юго-Восточная
3,2024-02-27 22:04:00,Свердловская
2,2024-02-27 22:12:00,Восточно-Сибирская
1,2024-02-27 22:55:00,Забайкальская
2,2024-02-28 09:16:00,Южно-Уральская
2,2024-02-28 09:45:00,Забайкальская
2,2024-02-28 10:02:00,Забайкальская
2,2024-02-29 21:28:00,Забайкальская
2,2024-02-29 22:11:00,Забайкальская
1,2024-01-03 04:11:00,Забайкальская
3,2024-01-03 04:38:00,Забайкальская
2,2024-01-03 06:23:00,Восточно-Сибирская
3,2024-01-03 06:51:00,Красноярская
3,2024-01-03 15:10:00,Восточно-Сибирская
2,2024-01-03 18:18:00,Свердловская
3,2024-01-03 19:05:00,Западно-Сибирская
2,2024-01-03 20:00:00,Забайкальская
2,2024-02-03 00:00:00,Забайкальская
2,2024-02-03 01:46:00,Южно-Уральская
2,2024-03-03 08:34:00,Дальневосточная
3,2024-03-03 10:10:00,Красноярская
2,2024-03-03 10:21:00,Забайкальская
1,2024-03-03 15:38:00,Забайкальская
2,2024-03-03 18:22:00,Забайкальская
2,2024-03-03 22:21:00,Забайкальская
1,2024-04-03 03:15:00,Забайкальская
1,2024-04-03 03:37:00,Красноярская
3,2024-04-03 05:44:00,Восточно-Сибирская
2,2024-04-03 15:17:00,Восточно-Сибирская
3,2024-04-03 20:40:00,Октябрьская
2,2024-04-03 23:22:00,Восточно-Сибирская
2,2024-05-03 01:55:00,Забайкальская
3,2024-05-03 04:30:00,Октябрьская
3,2024-05-03 04:59:00,Восточно-Сибирская
2,2024-05-03 06:33:00,Восточно-Сибирская
2,2024-05-03 08:18:00,Октябрьская
3,2024-05-03 09:11:00,Красноярская
3,2024-05-03 10:15:00,Забайкальская
2,2024-06-03 01:54:00,Забайкальская
3,2024-06-03 03:00:00,Октябрьская
2,2024-06-03 08:50:00,Забайкальская
3,2024-06-03 08:54:00,Восточно-Сибирская
2,2024-07-03 06:40:00,Восточно-Сибирская
3,2024-07-03 07:30:00,Южно-Уральская
3,2024-07-03 08:03:00,Восточно-Сибирская
3,2024-07-03 13:00:00,Западно-Сибирская
2,2024-07-03 17:18:00,Восточно-Сибирская
2,2024-07-03 19:20:00,Забайкальская
1,2024-08-03 04:35:00,Забайкальская
2,2024-08-03 05:46:00,Восточно-Сибирская
1,2024-08-03 11:14:00,Забайкальская
3,2024-08-03 16:26:00,Свердловская
3,2024-08-03 19:06:00,Куйбышевская
2,2024-09-03 05:30:00,Восточно-Сибирская
3,2024-09-03 09:30:00,Юго-Восточная
2,2024-09-03 12:47:00,Забайкальская
2,2024-09-03 18:37:00,Восточно-Сибирская
2,2024-10-03 11:22:00,Восточно-Сибирская
2,2024-10-03 12:40:00,Красноярская
3,2024-10-03 14:26:00,Северная
3,2024-10-03 23:04:00,Свердловская
2,2024-11-03 02:24:00,Свердловская
3,2024-11-03 05:00:00,Красноярская
1,2024-11-03 06:08:00,Забайкальская
3,2024-11-03 08:25:00,Октябрьская
3,2024-11-03 13:50:00,Западно-Сибирская
2,2024-11-03 16:28:00,Северная
3,2024-11-03 17:34:00,Северная
3,2024-11-03 21:44:00,Юго-Восточная
2,2024-12-03 00:00:00,Восточно-Сибирская
3,2024-12-03 05:00:00,Забайкальская
3,2024-12-03 08:17:00,Восточно-Сибирская
3,2024-12-03 08:20:00,Забайкальская
2,2024-12-03 11:33:00,Западно-Сибирская
3,2024-12-03 20:50:00,Западно-Сибирская
2,2024-03-13 01:23:00,Северная
3,2024-03-13 08:51:00,Забайкальская
3,2024-03-13 11:36:00,Московская
2,2024-03-13 20:15:00,Свердловская
2,2024-03-13 21:40:00,Забайкальская
2,2024-03-13 22:02:00,Западно-Сибирская
3,2024-03-14 02:50:00,Забайкальская
1,2024-03-14 05:03:00,Северная
2,2024-03-14 19:24:00,Забайкальская
3,2024-03-14 23:30:00,Забайкальская
3,2024-03-14 23:36:00,Октябрьская
3,2024-03-15 02:25:00,Дальневосточная
3,2024-03-15 09:15:00,Свердловская
3,2024-03-15 15:18:00,Восточно-Сибирская
2,2024-03-15 15:27:00,Восточно-Сибирская
3,2024-03-15 17:35:00,Восточно-Сибирская
2,2024-03-15 17:51:00,Забайкальская
3,2024-03-15 19:15:00,Забайкальская
3,2024-03-15 21:47:00,Восточно-Сибирская
3,2024-03-16 06:20:00,Забайкальская
3,2024-03-16 13:39:00,Западно-Сибирская
2,2024-03-16 13:46:00,Восточно-Сибирская
1,2024-03-16 20:06:00,Забайкальская
2,2024-03-17 10:27:00,Западно-Сибирская
2,2024-03-17 19:35:00,Восточно-Сибирская
3,2024-03-18 02:31:00,Западно-Сибирская
3,2024-03-18 06:55:00,Дальневосточная
2,2024-03-18 10:38:00,Забайкальская
3,2024-03-18 12:08:00,Забайкальская
2,2024-03-18 16:40:00,Забайкальская
2,2024-03-18 23:51:00,Восточно-Сибирская
3,2024-03-19 01:15:00,Октябрьская
3,2024-03-19 10:44:00,Забайкальская
2,2024-03-19 18:00:00,Забайкальская
1,2024-03-20 02:40:00,Забайкальская
3,2024-03-20 03:04:00,Юго-Восточная
2,2024-03-20 04:18:00,Забайкальская
2,2024-03-20 06:18:00,Забайкальская
3,2024-03-20 06:34:00,Красноярская
2,2024-03-20 11:46:00,Октябрьская
3,2024-03-20 13:21:00,Свердловская
3,2024-03-20 16:18:00,Южно-Уральская
2,2024-03-21 02:44:00,Забайкальская
2,2024-03-21 02:57:00,Октябрьская
3,2024-03-21 12:00:00,Южно-Уральская
2,2024-03-21 15:25:00,Дальневосточная
2,2024-03-21 16:20:00,Забайкальская
1,2024-03-21 22:16:00,Забайкальская
3,2024-03-22 01:29:00,Восточно-Сибирская
2,2024-03-22 22:28:00,Свердловская
3,2024-03-23 08:50:00,Южно-Уральская
2,2024-03-23 19:15:00,Дальневосточная
2,2024-03-24 03:56:00,Восточно-Сибирская
3,2024-03-24 16:20:00,Восточно-Сибирская
3,2024-03-25 00:45:00,Восточно-Сибирская
3,2024-03-25 06:22:00,Западно-Сибирская
3,2024-03-25 06:57:00,Восточно-Сибирская
3,2024-03-25 12:29:00,Красноярская
1,2024-03-25 14:14:00,Октябрьская
3,2024-03-25 16:00:00,Северная
3,2024-03-25 16:19:00,Октябрьская
2,2024-03-25 23:44:00,Забайкальская
2,2024-03-26 00:20:00,Забайкальская
3,2024-03-26 06:05:00,Южно-Уральская
3,2024-03-26 13:11:00,Красноярская
1,2024-03-26 19:50:00,Забайкальская
2,2024-03-26 20:53:00,Дальневосточная
3,2024-03-27 03:25:00,Забайкальская
2,2024-03-27 07:01:00,Западно-Сибирская
3,2024-03-27 08:34:00,Южно-Уральская
3,2024-03-27 10:31:00,Западно-Сибирская
2,2024-03-27 14:35:00,Свердловская
2,2024-03-27 18:57:00,Восточно-Сибирская
1,2024-03-29 02:49:00,Западно-Сибирская
3,2024-03-30 04:25:00,Южно-Уральская
3,2024-03-30 15:42:00,Красноярская
