CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,12674946,2023-01-17 23:57:00,Западно-Сибирская,"З-СИБ, ТЧЭ-15","4шт 2,63ч",,,Удар посторонним предметом с проходящего поезда,CT,2023,4.0,"2,63ч",,,,
3,12674992,2023-01-18 00:50:00,Северо-Кавказская,"С-КАВ, ТЧЭ-12",,,,Неисправность электронного регулятора,CT,2023,,,,,,
3,12699231,2023-01-18 09:00:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
3,12676445,2023-01-18 22:26:00,Западно-Сибирская,"З-СИБ, ТЧЭ-4",,,,"Ползун, выбоина на поверхности катания бандажа колесной пары локомотива, МВПС",CT,2023,,,,,,
3,12699238,2023-01-19 03:43:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2",,,,Повышенный вибрации корпуса тягового агрегата,CT,2023,,,,,,
2,12699234,2023-01-19 04:17:00,Восточно-Сибирская,"В-СИБ, ТЧЭ-2","1шт 0,3ч",,,Повышенный вибрации корпуса тягового агрегата,CT,2023,1.0,"0,3ч",,,,
3,12676780,2023-01-19 07:46:00,Западно-Сибирская,"З-СИБ, ТЧЭ-12",,,,Сбой программного обеспечения ячейки ВС-САУТ,CT,2023,,,,,,
1,12680473,2023-01-19 23:01:00,Октябрьская,"ОКТ, ТЧЭ-21","1шт 2,57ч",,,Прочая неисправность манжеты клапана песочницы,CT,2023,1.0,"2,57ч",,,,
1,12683678,2023-01-20 00:33:00,Забайкальская,"ЗАБ, ТЧЭ-11","27шт (к учету 26) 21,23ч","2шт 4,62ч","1шт 0,43ч",Неисправность корпуса автосцепки грузового вагона,CT,2023,26.0,"21,23ч",2.0,"4,62ч",1.0,"0,43ч"
2,12677837,2023-01-20 00:46:00,Московская,"МОСК, ТЧЭ-46","2шт 1,25ч",,,Прочая неисправность стабилизатора крана машиниста,CT,2023,2.0,"1,25ч",,,,
3,12678296,2023-01-20 07:53:00,Западно-Сибирская,"З-СИБ, ТЧЭ-4",,,,"Излом, потеря жесткости пружины толкателя кнопки",CT,2023,,,,,,
1,12679270,2023-01-21 03:52:00,Октябрьская,"ОКТ, ТЧЭ-21","1шт 1,27ч",,,"Прочая неисправность замка автосцепки локомотива, МВПС",CT,2023,1.0,"1,27ч",,,,
3,12679277,2023-01-21 04:40:00,Южно-Уральская,"Ю-УР, ТЧЭ-5",,,,"Прочая неисправность корпуса автосцепки локомотива, МВПС",CT,2023,,,,,,
3,12679768,2023-01-21 09:56:00,Восточно-Сибирская,"КРАС, ТЧЭ-3",,,,"Низкое сопротивление изоляции проводов, кабелей силовых цепей",CT,2023,,,,,,
