ID, START_TIME
87, 16-04-2023 16:42
88, 16-04-2023 18:47
89, 18-04-2023 9:01
90, 18-04-2023 11:00
91, 18-04-2023 14:05
92, 18-04-2023 23:30
93, 19-04-2023 19:50
94, 20-04-2023 4:24
95, 20-04-2023 18:49
96, 21-04-2023 2:04
97, 21-04-2023 11:18
98, 22-04-2023 4:34
99, 23-04-2023 1:35
100, 23-04-2023 21:25
101, 24-04-2023 13:38
102, 25-04-2023 2:29
103, 26-04-2023 1:02
104, 26-04-2023 17:28
105, 28-04-2023 16:45
106, 30-04-2023 4:17
107, 03-05-2023 12:56
108, 04-05-2023 10:12
109, 04-05-2023 14:42
110, 04-05-2023 17:00
111, 05-05-2023 12:55
112, 11-05-2023 11:28
113, 12-05-2023 16:30
114, 13-05-2023 0:35
115, 15-05-2023 11:38
116, 16-05-2023 6:59
117, 16-05-2023 19:51
118, 17-05-2023 21:10
119, 18-05-2023 2:40
120, 19-05-2023 3:33
121, 19-05-2023 19:09
122, 20-05-2023 7:02
123, 20-05-2023 7:30
124, 20-05-2023 17:50
125, 21-05-2023 16:51
126, 22-05-2023 1:45
127, 22-05-2023 6:20
128, 22-05-2023 11:49
129, 22-05-2023 11:55
130, 22-05-2023 17:04
131, 22-05-2023 17:25
132, 23-05-2023 8:10
133, 23-05-2023 13:04
134, 23-05-2023 19:44
135, 23-05-2023 23:21
136, 24-05-2023 22:37
137, 25-05-2023 22:11
138, 26-05-2023 4:32
139, 26-05-2023 9:13
140, 30-05-2023 6:52
141, 31-05-2023 10:35
142, 01-06-2023 6:45
143, 01-06-2023 15:17
144, 02-06-2023 21:14
145, 03-06-2023 6:52
146, 03-06-2023 12:29
147, 04-06-2023 0:02
148, 05-06-2023 0:05
149, 05-06-2023 20:01
150, 06-06-2023 8:19
151, 07-06-2023 14:26
152, 09-06-2023 8:55
153, 09-06-2023 21:35
154, 11-06-2023 2:00
155, 11-06-2023 3:32
156, 11-06-2023 14:50
157, 11-06-2023 16:34
158, 12-06-2023 16:33
159, 13-06-2023 12:48
160, 14-06-2023 4:59
161, 15-06-2023 20:37
162, 16-06-2023 18:00
163, 18-06-2023 19:37
164, 20-06-2023 13:10
165, 20-06-2023 14:32
166, 20-06-2023 16:59
167, 21-06-2023 23:10
168, 23-06-2023 11:25
169, 23-06-2023 17:11
170, 24-06-2023 0:14
171, 24-06-2023 20:21
172, 25-06-2023 3:01
173, 26-06-2023 4:29
174, 26-06-2023 10:55
175, 26-06-2023 13:41
176, 27-06-2023 6:45
177, 27-06-2023 9:55
178, 27-06-2023 12:06
179, 29-06-2023 16:19
180, 30-06-2023 14:31
181, 01-07-2023 4:04
182, 02-07-2023 1:55
183, 02-07-2023 10:26
184, 03-07-2023 8:17
185, 03-07-2023 10:10
186, 03-07-2023 16:18
187, 03-07-2023 18:43
188, 04-07-2023 17:11
189, 04-07-2023 17:44
190, 05-07-2023 0:24
191, 05-07-2023 20:09
192, 06-07-2023 0:19
193, 06-07-2023 11:50
194, 06-07-2023 12:05
195, 06-07-2023 12:53
196, 06-07-2023 18:24
197, 06-07-2023 19:11
198, 07-07-2023 6:50
199, 07-07-2023 7:45
200, 07-07-2023 14:11
201, 07-07-2023 16:03
202, 08-07-2023 0:25
203, 08-07-2023 7:27
204, 08-07-2023 10:52
205, 08-07-2023 17:00
206, 08-07-2023 22:10
207, 09-07-2023 20:00
208, 09-07-2023 20:19
209, 09-07-2023 20:51
210, 09-07-2023 21:40
211, 10-07-2023 0:22
212, 11-07-2023 5:35
213, 11-07-2023 9:30
214, 12-07-2023 4:56
215, 12-07-2023 10:54
216, 12-07-2023 15:11
217, 13-07-2023 13:41
218, 13-07-2023 17:25
219, 14-07-2023 1:45
220, 14-07-2023 4:20
221, 14-07-2023 8:11
222, 14-07-2023 12:12
223, 14-07-2023 12:17
224, 14-07-2023 17:04
225, 14-07-2023 19:58
226, 15-07-2023 12:18
227, 15-07-2023 19:08
228, 16-07-2023 22:01
229, 17-07-2023 1:17
230, 17-07-2023 8:27
231, 17-07-2023 16:25
232, 19-07-2023 5:59
233, 20-07-2023 2:42
234, 20-07-2023 3:34
235, 20-07-2023 4:20
236, 21-07-2023 6:45
237, 21-07-2023 15:29
238, 21-07-2023 19:39
239, 22-07-2023 3:03
240, 22-07-2023 9:59
241, 22-07-2023 16:50
242, 23-07-2023 4:48
243, 23-07-2023 14:11
244, 24-07-2023 7:31
245, 25-07-2023 3:29
246, 26-07-2023 10:33
247, 26-07-2023 11:34
248, 26-07-2023 13:55
249, 27-07-2023 7:48
250, 27-07-2023 22:45
251, 28-07-2023 0:17
252, 28-07-2023 6:25
253, 28-07-2023 16:00
254, 29-07-2023 10:10
255, 29-07-2023 15:53
256, 29-07-2023 22:50
257, 30-07-2023 3:58
258, 30-07-2023 7:18
259, 30-07-2023 12:15
260, 30-07-2023 12:35
261, 30-07-2023 14:40
262, 31-07-2023 0:03
263, 31-07-2023 20:58
264, 01-08-2023 7:28
265, 01-08-2023 19:05
266, 01-08-2023 21:40
267, 02-08-2023 9:35
268, 02-08-2023 10:57
269, 02-08-2023 11:28
270, 03-08-2023 2:20
271, 03-08-2023 11:50
272, 03-08-2023 15:05
273, 03-08-2023 20:32
274, 04-08-2023 1:00
275, 04-08-2023 7:40
276, 04-08-2023 10:45
277, 05-08-2023 0:48
278, 05-08-2023 13:59
279, 05-08-2023 18:35
280, 06-08-2023 7:51
281, 06-08-2023 13:00
282, 06-08-2023 17:21
283, 06-08-2023 18:01
284, 07-08-2023 6:30
285, 07-08-2023 16:52
