CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
3,13202979,2024-01-30 08:40:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание (перегорание), атмосферные перенапряжения",CSH,2024,,,,,,
3,13201486,2024-01-30 10:13:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Кнопки, потеря контакта в штепсельном разъеме",CSH,2024,,,,,,
3,13203365,2024-01-30 10:55:00,Горьковская,"ГОРЬК, ШЧ-1",,,,"Лампы, перегорание основной нити",CSH,2024,,,,,,
2,13199375,2024-01-30 13:19:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","4шт (к учету 3) ч(к учету 1,52ч)","4шт (к учету 2) ч(к учету 0,55ч)",,"Срабатывание, несоответствие номинала",CSH,2024,3.0,"1,52ч",2.0,"0,55ч",,
2,13199579,2024-01-30 18:30:00,Горьковская,"ГОРЬК, ШЧ-8","1шт ч(к учету 0,85ч)",,,"Лампы, перегорание основной нити",CSH,2024,1.0,"0,85ч",,,,
3,13199726,2024-01-31 00:12:00,Горьковская,"ГОРЬК, ШЧ-3",,,,"Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,,,,,,
3,13199985,2024-01-31 05:55:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,,"Автопереключатель, разрегулировка контактов",CSH,2024,,,,,,
3,13203375,2024-01-31 16:07:00,Горьковская,"ГОРЬК, ШЧ-1",,,,Нарушение контакта штепсель/рельс,CSH,2024,,,,,,
3,13201655,2024-01-31 19:07:00,Горьковская,"ГОРЬК, ШЧ-14",,,,"Срабатывание (перегорание), несоответствие номинала",CSH,2024,,,,,,
3,13202640,2024-01-31 23:00:00,Горьковская,"ГОРЬК, ШЧ-14",,,,Неисправность,CSH,2024,,,,,,
2,13204783,2024-02-04 00:12:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","4шт ч(к учету 1,75ч)",,,"Транзистор, пробой",CSH,2024,4.0,"1,75ч",,,,
3,13205063,2024-02-04 07:08:00,Горьковская,"ГОРЬК, ШЧ-10",,,,"Срабатывание, коммутационные перенапряжения",CSH,2024,,,,,,
2,13205652,2024-02-04 19:07:00,Горьковская,"ГОРЬК, ШЧ-3","1шт ч(к учету 0,47ч)",,,"Срабатывание, воздействие тягового тока",CSH,2024,1.0,"0,47ч",,,,
3,13205806,2024-02-05 00:39:00,Горьковская,"ГОРЬК, ШЧ-5 (Э)",,,,"Системный блок, сбой программного обеспечения",CSH,2024,,,,,,
2,13209726,2024-02-07 05:37:00,Горьковская,"ГОРЬК, ИЧ-4 КАНАШ Ш",,,"1шт ч(к учету 0,18)ч","Нарушение контакта в разъемах блоков, замятие контакта",CSH,2024,,,,,1.0,"0,18ч"
3,13215191,2024-02-08 19:05:00,Горьковская,"ГОРЬК, ШЧ-14","1шт ч(к учету 0,17ч)",,,"Лампы, перегорание основной нити",CSH,2024,1.0,"0,17ч",,,,
2,13214285,2024-02-09 01:07:00,Горьковская,"ГОРЬК, ИЧ-5 ИЖЕВСК Ш","1шт ч(к учету 0,52ч)",,"2шт (к учету 1) ч(к учету 0,25)ч","Контактная система, подгар контактов",CSH,2024,1.0,"0,52ч",,,1.0,"0,25ч"
2,13217178,2024-02-11 10:35:00,Горьковская,"ГОРЬК, ШЧ-8","2шт (к учету 1) ч(к учету 1,13ч)","1шт ч(к учету 0,4ч)",,"Контактная система, увеличенное сопротивление контакта",CSH,2024,1.0,"1,13ч",1.0,"0,4ч",,
3,13217882,2024-02-12 02:27:00,Горьковская,"ГОРЬК, ИЧ-5 ИЖЕВСК Ш",,,,Механические повреждения,CSH,2024,,,,,,
2,13218607,2024-02-12 12:30:00,Горьковская,"ГОРЬК, ШЧ-7","1шт ч(к учету 0,22ч)",,"1шт ч(к учету 0,15)ч","Нарушение контакта в штепсельных розетках, неисправность контактных губок",CSH,2024,1.0,"0,22ч",,,1.0,"0,15ч"
2,13220235,2024-02-13 12:20:00,Горьковская,"ГОРЬК, ШЧ-3","2шт ч(к учету 0,48ч)",,"1шт ч(к учету 0,15)ч","Нарушение контакта в штепсельных розетках, сообщение",CSH,2024,2.0,"0,48ч",,,1.0,"0,15ч"
2,13220885,2024-02-13 16:34:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","2шт ч(к учету 1,25ч)",,,"Обмотка, короткое замыкание",CSH,2024,2.0,"1,25ч",,,,
2,13221018,2024-02-13 21:10:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","3шт ч(к учету 1,22ч)",,,"Нарушение контакта штепсельного разъема, нарушение контакта",CSH,2024,3.0,"1,22ч",,,,
2,13245003,2024-02-14 10:10:00,Горьковская,"ГОРЬК, ШЧ-6 (Р)","1шт ч(к учету 0,25ч)",,,"Нарушение контакта в штепсельных розетках, замятие контакта",CSH,2024,1.0,"0,25ч",,,,
