CATEGORY,№,START_TIME,ROAD,RESPONSIBILITY,FREIGHT,PASSENGER,COMMUTER,REASON,DEPARTMENT,YEAR,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT
2,12988308,2023-08-29 12:57:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ","1шт 0,98ч",,,Разрегулирование рычажной передачи грузового вагона,CV,2023,1.0,"0,98ч",,,,
2,12990062,2023-08-29 15:09:00,Октябрьская,"ОКТ, ВЧДЭ-28 ВОЛХОВСТРОЙ","1шт 0,5ч",,,Технологический нагрев буксового узла,CV,2023,1.0,"0,5ч",,,,
3,12991526,2023-08-29 17:20:00,Восточно-Сибирская,"КРАС, ВЧДЭ-8 АБАКАН",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
2,12988767,2023-08-29 18:55:00,Октябрьская,"ОКТ, ВЧДЭ-28 ВОЛХОВСТРОЙ","4шт 1,58ч",,,"Шелушение, раковины, коррозия на деталях подшипника",CV,2023,4.0,"1,58ч",,,,
2,12991522,2023-08-29 20:05:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,65ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,65ч",,,,
2,12989452,2023-08-30 09:18:00,Октябрьская,"ОКТ, ВЧДЭ-28 ВОЛХОВСТРОЙ","2шт 0,87ч",,,Сдвиг буксы грузового вагона,CV,2023,2.0,"0,87ч",,,,
3,12989797,2023-08-30 12:00:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-12 ВХОДНАЯ",,,,Поперечная трещина оси колёсной пары грузового вагона,CV,2023,,,,,,
2,12992602,2023-08-30 21:00:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","8шт 2,28ч",,,Тонкий гребень колеса грузового вагона,CV,2023,8.0,"2,28ч",,,,
2,12991776,2023-08-30 21:53:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,67ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,67ч",,,,
3,12990709,2023-08-31 01:20:00,Октябрьская,"ОКТ, ВЧДЭ-24 НОВОСОКОЛЬНИКИ",,,,Выщербина на ободе колеса грузового вагона,CV,2023,,,,,,
2,12991836,2023-08-31 01:24:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,67ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,67ч",,,,
2,12992793,2023-08-31 02:55:00,Забайкальская,"В-СИБ, ВЧДЭ-10 УЛАН-УДЭ","1шт 0,9ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,9ч",,,,
2,12991974,2023-08-31 03:18:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ","1шт 0,67ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,67ч",,,,
3,12990491,2023-08-31 04:32:00,Северная,"СЕВ, ВЧДЭ-1 ЯРОСЛАВЛЬ-ГЛ",,,,Неисправность концевого крана грузового вагона,CV,2023,,,,,,
2,12990828,2023-08-31 11:36:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","1шт 0,67ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,67ч",,,,
3,12991194,2023-08-31 12:09:00,Октябрьская,"ОКТ, ВЧДЭ-24 НОВОСОКОЛЬНИКИ",,,,Неисправность разобщительного крана грузового вагона,CV,2023,,,,,,
2,12994323,2023-08-31 14:52:00,Октябрьская,"ОКТ, ВЧДЭ-28 ВОЛХОВСТРОЙ","1шт 0,27ч",,,Технологический нагрев буксового узла,CV,2023,1.0,"0,27ч",,,,
3,12991328,2023-08-31 20:35:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК",,,,Дефекты на поверхности катания колёс,CV,2023,,,,,,
2,12994333,2023-09-01 01:00:00,Восточно-Сибирская,"СВЕРД, ВЧДЭ-4","1шт 0,67ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,67ч",,,,
3,12995875,2023-09-01 11:23:00,Юго-Восточная,"Ю-УР, ВЧДЭ-1 ЧЕЛЯБИНСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
3,12992024,2023-09-01 11:55:00,Западно-Сибирская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ",,,,Разрегулирование рычажной передачи грузового вагона,CV,2023,,,,,,
1,13007833,2023-09-01 18:54:00,Красноярская,"З-СИБ, ВЧДЭ-6 ИНСКАЯ","1шт 0,5ч",,,Тонкий гребень колеса грузового вагона,CV,2023,1.0,"0,5ч",,,,
3,12996376,2023-09-03 00:00:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-3 КАРЫМСКАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
1,12993567,2023-09-03 06:15:00,Забайкальская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","5шт 2,55ч",,,Наличие зазора между колпаком и ответной частью скользуна постоянного контакта,CV,2023,5.0,"2,55ч",,,,
3,12994376,2023-09-03 10:51:00,Восточно-Сибирская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
3,12996937,2023-09-03 13:51:00,Западно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
2,13001396,2023-09-03 16:36:00,Восточно-Сибирская,"В-СИБ, ВЧДЭ-8 ИРКУТСК-СОРТ","1шт 0,98ч",,,Неравномерный прокат по кругу катания колеса грузового вагона выше нормы,CV,2023,1.0,"0,98ч",,,,
3,12997223,2023-09-03 18:15:00,Красноярская,"В-СИБ, ВЧДЭ-13 ТАЙШЕТ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
2,12994081,2023-09-03 20:10:00,Свердловская,"СВЕРД, ВЧДЭ-4","1шт 0,95ч",,,Излом пружины рессорного подвешивания грузового вагона,CV,2023,1.0,"0,95ч",,,,
3,12995152,2023-09-03 21:08:00,Южно-Уральская,"З-СИБ, ВЧДЭ-23 БЕЛОВО",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
3,12999453,2023-09-03 21:11:00,Московская,"Ю-ВОСТ, ВЧДЭ-3 СТОЙЛЕНСКАЯ",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
2,13002851,2023-09-03 22:36:00,Восточно-Сибирская,"ЗАБ, ВЧДЭ-7 БЕЛОГОРСК","1шт 0,45ч",,,Выщербина на ободе колеса грузового вагона,CV,2023,1.0,"0,45ч",,,,
3,12996366,2023-09-04 00:00:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",,,,Излом рычагов и тормозных тяг грузового вагона,CV,2023,,,,,,
3,13004012,2023-09-04 03:36:00,Забайкальская,"Д-ВОСТ, ВЧДЭ-1 ХАБАРОВСК",,,,Тонкий гребень колеса грузового вагона,CV,2023,,,,,,
3,13012656,2023-09-04 08:47:00,Западно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",,,,"Шелушение, раковины, коррозия на деталях подшипника",CV,2023,,,,,,
3,12996590,2023-09-04 22:30:00,Восточно-Сибирская,"КРАС, ВЧДЭ-7 КРАСНОЯРСК-ВОСТ",,,,Излом рычагов и тормозных тяг грузового вагона,CV,2023,,,,,,
3,12999301,2023-09-05 00:20:00,Красноярская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Обрыв (трещина) кронштейна шарнирного соединения крышки люка грузового вагона,CV,2023,,,,,,
3,13001541,2023-09-05 05:50:00,Красноярская,"З-СИБ, ВЧДЭ-25 НОВОКУЗНЕЦК",,,,Обрыв (трещина) кронштейна шарнирного соединения крышки люка грузового вагона,CV,2023,,,,,,
